USER,DATE,STAR,LIKE,TITLE,REVIEW
Hyena Park,2023-05-29 07:17:59-07:00,5,0,고객센터 서비스,여러가지 문의하는데 항상 친절하게 응대해주십니다. 기분좋게 쇼핑할 수 있습니다
Gwak Younhee,2023-05-28 08:59:15-07:00,5,1,명품을 싸게,편리하고 무엇보다 저렴합니다. 시즌에 맞게 명품 잘 구매할 수 있어요
Gjeon Hyounjung,2023-05-28 08:59:13-07:00,5,1,지인이 추천했어요,친구가 알려줘서 이용했는데 넘 만족스러웠어요
Yejun Wonjin,2023-05-28 08:59:11-07:00,5,1,정품 100%,정품이 확실해요
Seoyoung Jungran,2023-05-28 08:59:09-07:00,5,0,검색 기능,카테고리별로 제품들 정리가 잘 되어 있어서 보기 편리합니다
Euk Nu,2023-05-28 08:59:08-07:00,5,1,최저가 명품구매,다른 곳보다 10%정도 더 저렴하게 샀습니다
Seoho Chang,2023-05-28 08:59:06-07:00,5,0,개이득 쇼핑,최저가로 명품을 빨른 배송으로 살 수 있습니다.
Youngtae Seohyeon 98,2023-05-28 08:30:32-07:00,5,1,역시발란,확실한 정품을 살 수 있습니다
Kim Seoho 82,2023-05-28 08:30:30-07:00,5,1,퍼스널쇼퍼 좋아요,덕분에 사이즈 맞는걸로 잘 구매할 수 있었습니다.
Mikyoung Heekyoung,2023-05-28 08:30:28-07:00,5,0,믿고 사세요,진짜 정품을 안심하게 구매할 수 있는곳
Lee Chaewon 93,2023-05-28 08:30:26-07:00,5,0,비교구매 좋아요,업체들의 가격이랑 리뷰 비교해보면서 구매할 수 있어서 좋았어요
소비자가만만해?,2023-05-27 21:19:04-07:00,1,0,뭐하나 해주는게 없는 쓰레기,"판매자도 본사도 굉장히 무성의하고
제대로 하는게 없는데 다들 왜쓰는지?
다시는 쓸 일 없는 앱.
덕분에 크림 덕후됨"
Byungho Sunyup,2023-05-27 08:52:58-07:00,5,1,얼른 구매 고고,고민하지말고 바로 구매하세요 ㅎ 가장 싼 가격에 살 수 있습니다.
Yang Jonghun,2023-05-27 08:52:57-07:00,5,1,명품지갑구매,첫 명품지갑을 여기서 구매했습니다. 완전 정품이고 배송도 빨랐습니다
Ha Sungeun,2023-05-27 08:52:55-07:00,5,1,직구배송 빠름,검수영상도 좋고 배송도 굿
Minsung Sangcheol,2023-05-27 08:52:52-07:00,5,1,배송이 안전해요,포장영상도 볼 수 있고 배송 자체도 넘 빠르고 좋네요
Eunmi Juhee,2023-05-27 08:52:47-07:00,5,1,상담이 친절,온라인에서 처음 명품거래하는거라 궁금한게 많았었는데 잘 상담해주셔서 안심이 되었습니다
Nuree Son,2023-05-27 08:05:40-07:00,5,1,결제가 편리해요,복잡함이 없고 결제가 편리해서 좋았습니다
Arin Sangwook,2023-05-27 08:05:38-07:00,5,1,AS가 좋아요,책임지고 수선을 해줘서 너무 좋았습니다. 보증서비스가 확실합니다
Ohwang Junghun,2023-05-27 08:05:37-07:00,5,1,배송이 퀵,직구인지 모를 정도로 배송이 빠릅니다
Subin Youngwhan,2023-05-27 08:05:35-07:00,5,0,앱 기능이 좋아요,다른 직구앱들은 버벅거림이 있는데 발란은 그게 없어서 너무 좋습니다
Gjeon Younghwa,2023-05-27 08:05:34-07:00,5,0,상품이 다양,상품들이 자주 리뉴얼되어서 여러 제품들 확인할 수 있습니다. 배송도 빨라요
Rhee Minhwan,2023-05-25 21:37:04-07:00,5,1,100% 안전한 발란,가품 걱정 없이 제품들 구매할 수 있습니다.
Sunho Nuree,2023-05-25 21:37:02-07:00,5,1,기획전 다양해요,이벤트도 많고 기획전도 다양합니다. 보는 맛이 있습니다
Djfuqqdnss Hyoil,2023-05-25 21:37:01-07:00,5,1,정품 보장되는 곳,검수 사진만 10번 넘게 확인했습니다 ㅋ 친절하게 잘 응대해주셔서 감사요
Sunyoung Eunjung,2023-05-25 21:36:59-07:00,5,1,남자친구 선물 잘했습니다,고민하다가 남친 선물 여기서 샀는데 검수도 잘해주시고 만족스럽게 잘 구매했습니다
Jaecheo Younghun,2023-05-25 21:36:57-07:00,5,1,최저가 확실하네요,다른 직구앱보다 훨씬 저렴하게 잘 구입했습니다
Kyusan Chaewon,2023-05-25 21:36:56-07:00,5,1,클리어런스 항상 봅니다,발란 서비스중에서 클리어런스 넘 좋은것 같아요. 좋은 가격에 명품살 수 있습니다
Jun Sungeun,2023-05-25 21:36:54-07:00,5,1,고객센터 넘 친절해요,명품 신발 사기엔 발란을 가장 추천합니다. CS도 친절하고 넘 좋아요
Hyoil Dongyoon,2023-05-25 21:36:51-07:00,5,0,직구앱 중에서 최고,직구 앱 많이 있지만 발란이 가장 최고 입니다. 배송이 진짜 빨라요
Sin Yejun,2023-05-25 21:32:19-07:00,5,0,상품이 정말 많아요,상품이 많아서 고르는 맛이 있습니다. 이벤트도 다양해서 좋은 가격에 살 수 있어요
Sunwoo Sim,2023-05-25 21:32:18-07:00,5,0,비교구매 좋아요,브랜드 다양하고 연관상품이 구미에 맞게 잘 떠서 좋습니다
Son Yewon 90,2023-05-25 04:29:34-07:00,5,0,특템 했어요!!,이번에 선착순 할인으로 잘 샀어요!!! 쿠폰이랑 특가 등등 다양한 행사 많이 해서 좋네요!!! 가격 되게 좋게 득템했습니다!!
